geneA_id,geneA_symbol,geneB_id,geneB_symbol
3315,HSPB1,53918,PELO
3315,HSPB1,54535,CCHCR1
3315,HSPB1,54623,PAF1
3315,HSPB1,5464,PPA1
3315,HSPB1,54780,NSMCE4A
3315,HSPB1,54936,ADPRS
3315,HSPB1,5494,PPM1A
3315,HSPB1,55002,TMCO3
3315,HSPB1,55012,PPP2R3C
3315,HSPB1,55257,MRGBP
3315,HSPB1,55276,PGM2
3315,HSPB1,55660,PRPF40A
3315,HSPB1,55699,IARS2
3315,HSPB1,55812,SPATA7
3315,HSPB1,55815,TSNAXIP1
3315,HSPB1,5587,PRKD1
3315,HSPB1,55929,DMAP1
3315,HSPB1,56311,ANKRD7
3315,HSPB1,5684,PSMA3
3315,HSPB1,56850,GRIPAP1
3315,HSPB1,5687,PSMA6
3315,HSPB1,56888,KCMF1
3315,HSPB1,5690,PSMB2
3315,HSPB1,5700,PSMC1
3315,HSPB1,5707,PSMD1
3315,HSPB1,57159,TRIM54
3315,HSPB1,57623,ZFAT
3315,HSPB1,5774,PTPN3
3315,HSPB1,5786,PTPRA
3315,HSPB1,58517,RBM25
3315,HSPB1,5886,RAD23A
3315,HSPB1,5898,RALA
3315,HSPB1,60314,MYG1
3315,HSPB1,6275,S100A4
3315,HSPB1,6303,SAT1
3315,HSPB1,6305,SBF1
3315,HSPB1,6396,SEC13
3315,HSPB1,64105,CENPK
3315,HSPB1,645432,ARRDC5
3315,HSPB1,64976,MRPL40
3315,HSPB1,6595,SMARCA2
3315,HSPB1,6597,SMARCA4
3315,HSPB1,6602,SMARCD1
3315,HSPB1,6622,SNCA
3315,HSPB1,6636,SNRPF
3315,HSPB1,6711,SPTBN1
3315,HSPB1,6731,SRP72
3315,HSPB1,6829,SUPT5H
3315,HSPB1,6895,TARBP2
3315,HSPB1,6897,TARS1
3315,HSPB1,7041,TGFB1I1
3315,HSPB1,7157,TP53
3315,HSPB1,7178,TPT1
3315,HSPB1,7267,TTC3
3315,HSPB1,729092,AGAP5
3315,HSPB1,7353,UFD1
3315,HSPB1,7381,UQCRB
3315,HSPB1,7431,VIM
3315,HSPB1,7514,XPO1
3315,HSPB1,7520,XRCC5
3315,HSPB1,7529,YWHAB
3315,HSPB1,7531,YWHAE
3315,HSPB1,7533,YWHAH
3315,HSPB1,7534,YWHAZ
3315,HSPB1,7690,ZNF131
3315,HSPB1,7709,ZBTB17
3315,HSPB1,7798,LUZP1
3315,HSPB1,7867,MAPKAPK3
3315,HSPB1,79624,ARMT1
3315,HSPB1,79657,RPAP3
3315,HSPB1,79822,ARHGAP28
3315,HSPB1,80279,CDK5RAP3
3315,HSPB1,8087,FXR1
3315,HSPB1,81,ACTN4
3315,HSPB1,811,CALR
3315,HSPB1,81875,ISG20L2
3315,HSPB1,83446,CCDC70
3315,HSPB1,83861,RSPH3
3315,HSPB1,84060,RBM48
3315,HSPB1,84131,CEP78
3315,HSPB1,84133,ZNRF3
3315,HSPB1,84292,WDR83
3315,HSPB1,84300,UQCC2
3315,HSPB1,84320,ACBD6
3315,HSPB1,8443,GNPAT
3315,HSPB1,84457,PHYHIPL
3315,HSPB1,84614,ZBTB37
3315,HSPB1,84966,IGSF21
3315,HSPB1,8536,CAMK1
3315,HSPB1,8550,MAPKAPK5
3315,HSPB1,8563,THOC5
3315,HSPB1,8672,EIF4G3
3315,HSPB1,87,ACTN1
3315,HSPB1,87178,PNPT1
3315,HSPB1,8775,NAPA
3315,HSPB1,88,ACTN2
3315,HSPB1,8805,TRIM24
3315,HSPB1,8872,CDC123
3315,HSPB1,8874,ARHGEF7
3315,HSPB1,8878,SQSTM1
3315,HSPB1,892,CCNC
3315,HSPB1,90416,CCDC32
3315,HSPB1,90417,KNSTRN
3315,HSPB1,91624,NEXN
3315,HSPB1,91694,LONRF1
3315,HSPB1,9182,RASSF9
3315,HSPB1,92558,BICDL1
3315,HSPB1,9261,MAPKAPK2
3315,HSPB1,93323,HAUS8
3315,HSPB1,93426,SYCE1
3315,HSPB1,9343,EFTUD2
3315,HSPB1,9352,TXNL1
3315,HSPB1,9414,TJP2
3315,HSPB1,9446,GSTO1
3315,HSPB1,9513,FXR2
3315,HSPB1,9531,BAG3
3315,HSPB1,9584,RBM39
3315,HSPB1,9868,TOMM70
3315,HSPB1,9878,TOX4
3315,HSPB1,9978,RBX1
3423,IDS,10841,FTCD
3423,IDS,3362,HTR6
3423,IDS,84458,LCOR
3423,IDS,861,RUNX1
3568,IL5RA,3567,IL5
3568,IL5RA,3717,JAK2
3568,IL5RA,6386,SDCBP
3568,IL5RA,9094,UNC119
3594,IL12RB1,1080,CFTR
3594,IL12RB1,51561,IL23A
3594,IL12RB1,6634,SNRPD3
3817,KLK2,5269,SERPINB6
3949,LDLR,1600,DAB1
3949,LDLR,166,TLE5
3949,LDLR,219402,MTIF3
3949,LDLR,255738,PCSK9
3949,LDLR,26119,LDLRAP1
3949,LDLR,29116,MYLIP
3949,LDLR,2923,PDIA3
3949,LDLR,338,APOB
3949,LDLR,348,APOE
3949,LDLR,350,APOH
3949,LDLR,4043,LRPAP1
3949,LDLR,4134,MAP4
5156,PDGFRA,1398,CRK
5156,PDGFRA,147872,KASH5
5156,PDGFRA,1956,EGFR
5156,PDGFRA,1969,EPHA2
5156,PDGFRA,2064,ERBB2
5156,PDGFRA,2065,ERBB3
5156,PDGFRA,2264,FGFR4
5156,PDGFRA,403313,PLPP6
5156,PDGFRA,4609,MYC
5156,PDGFRA,5154,PDGFA
5156,PDGFRA,5155,PDGFB
5156,PDGFRA,5159,PDGFRB
5156,PDGFRA,5290,PIK3CA
5156,PDGFRA,5335,PLCG1
5156,PDGFRA,56034,PDGFC
